ts,open,high,low,close,volume
2026-06-26 15:55:00+00:00,4091.18,4096.44,4090.61,4095.15,68.24
2026-06-26 16:00:00+00:00,4095.15,4097.2,4093.93,4095.8,146.8
2026-06-26 16:05:00+00:00,4095.8,4095.8,4092.21,4092.85,155.42
2026-06-26 16:10:00+00:00,4092.85,4096.41,4092.4,4095.61,74.67
2026-06-26 16:15:00+00:00,4095.61,4097.88,4094.2,4094.71,60.83
2026-06-26 16:20:00+00:00,4094.71,4094.72,4087.71,4090.21,188.33
2026-06-26 16:25:00+00:00,4090.21,4092.03,4088.91,4090.69,122.8
2026-06-26 16:30:00+00:00,4090.69,4096.59,4090.69,4092.59,140.32
2026-06-26 16:35:00+00:00,4092.59,4092.59,4088.27,4088.45,108.6
2026-06-26 16:40:00+00:00,4088.45,4089.55,4086.05,4088.23,43.05
2026-06-26 16:45:00+00:00,4088.23,4090.47,4087.62,4088.21,74.01
2026-06-26 16:50:00+00:00,4088.21,4089.19,4086.61,4088.9,67.11
2026-06-26 16:55:00+00:00,4088.9,4089.49,4087.28,4088.98,27.3
2026-06-26 17:00:00+00:00,4088.98,4089.75,4087.84,4088.71,60.55
2026-06-26 17:05:00+00:00,4088.71,4091.74,4088.48,4090.85,22.08
2026-06-26 17:10:00+00:00,4090.85,4091.03,4086.85,4087.81,53.38
2026-06-26 17:15:00+00:00,4087.81,4088.24,4086.0,4086.0,20.65
2026-06-26 17:20:00+00:00,4086.0,4089.11,4084.59,4089.04,41.38
2026-06-26 17:25:00+00:00,4089.04,4089.04,4084.94,4085.57,27.6
2026-06-26 17:30:00+00:00,4085.57,4087.55,4080.77,4081.78,97.19
2026-06-26 17:35:00+00:00,4081.78,4082.43,4078.01,4078.95,66.6
2026-06-26 17:40:00+00:00,4078.95,4080.91,4077.55,4080.05,55.84
2026-06-26 17:45:00+00:00,4080.05,4081.06,4077.79,4079.56,53.8
2026-06-26 17:50:00+00:00,4079.56,4080.62,4077.94,4078.84,30.76
2026-06-26 17:55:00+00:00,4078.84,4079.37,4077.47,4078.72,35.72
2026-06-26 18:00:00+00:00,4078.72,4080.55,4076.7,4080.55,50.8
2026-06-26 18:05:00+00:00,4080.55,4083.0,4079.26,4082.02,46.53
2026-06-26 18:10:00+00:00,4082.02,4082.05,4080.24,4080.56,121.09
2026-06-26 18:15:00+00:00,4080.56,4080.78,4077.87,4078.22,48.82
2026-06-26 18:20:00+00:00,4078.22,4078.38,4076.02,4076.08,121.6
2026-06-26 18:25:00+00:00,4076.08,4077.82,4076.08,4077.82,37.17
2026-06-26 18:30:00+00:00,4077.82,4080.07,4077.82,4078.58,26.54
2026-06-26 18:35:00+00:00,4078.58,4078.97,4077.07,4077.89,24.46
2026-06-26 18:40:00+00:00,4077.89,4078.14,4076.38,4077.14,18.36
2026-06-26 18:45:00+00:00,4077.14,4077.14,4072.09,4073.94,66.36
2026-06-26 18:50:00+00:00,4073.94,4075.03,4072.85,4074.46,34.1
2026-06-26 18:55:00+00:00,4074.46,4075.51,4071.68,4072.14,28.82
2026-06-26 19:00:00+00:00,4072.14,4072.94,4069.59,4070.0,59.17
2026-06-26 19:05:00+00:00,4070.0,4071.89,4069.12,4071.11,59.05
2026-06-26 19:10:00+00:00,4071.11,4074.28,4070.43,4073.89,42.26
2026-06-26 19:15:00+00:00,4073.89,4074.24,4071.93,4073.29,101.26
2026-06-26 19:20:00+00:00,4073.29,4073.29,4069.61,4070.57,36.91
2026-06-26 19:25:00+00:00,4070.57,4072.21,4069.91,4071.28,30.13
2026-06-26 19:30:00+00:00,4071.28,4075.4,4070.87,4075.4,34.86
