ts_utc,event,value,prior,delta,trailing_mean,trailing_std,surprise_z,expected_dir
2020-05-13 12:30:00+00:00,CPI,0.3130472940411133,,-1.6283756522124049,1.9414229462535182,0.33312904899252727,-4.888122657381742,1
2020-05-14 12:30:00+00:00,CLAIMS,2335000,2796000.0,-461000.0,323500.0,1622078.2965072924,-0.4836387994890314,-1
2020-05-15 12:30:00+00:00,RETAIL,401028,468324.0,-67296.0,-2580.6666666666665,14188.674012832358,-4.561055760024104,1
2020-05-21 12:30:00+00:00,CLAIMS,2176000,2335000.0,-159000.0,257750.0,1644558.1039120683,-0.2534115389469285,-1
2020-05-28 12:30:00+00:00,CLAIMS,1921000,2176000.0,-255000.0,-92250.0,1333405.923619232,-0.1220558549479453,-1
2020-06-04 12:30:00+00:00,CLAIMS,1639000,1921000.0,-282000.0,-503125.0,440908.61946018453,0.5015211548159999,1
2020-06-05 12:30:00+00:00,UNRATE,13.2,14.8,-1.6000000000000014,0.9250000000000002,2.9963993543766976,-0.8426780616915615,-1
2020-06-05 12:30:00+00:00,NFP,133040,130426.0,2614.0,-1680.4166666666667,5934.4353251836765,0.7236436882954405,-1
2020-06-10 12:30:00+00:00,PPI,188.6,185.5,3.0999999999999943,-1.3833333333333329,2.3350426639409045,1.9200220203971363,-1
2020-06-11 12:30:00+00:00,CLAIMS,1575000,1639000.0,-64000.0,-562250.0,358553.3433117032,1.389611920497011,1
2020-06-11 12:30:00+00:00,CPI,0.1982013035848551,,-1.6025936279880009,1.800794931572856,0.5745762890304866,-2.7891746641549426,1
2020-06-15 12:30:00+00:00,RETAIL,478449,401028.0,77421.0,-8192.916666666666,23389.35980101882,3.6603787959573566,-1
2020-06-18 12:30:00+00:00,CLAIMS,1473000,1575000.0,-102000.0,-411750.0,258813.6395169313,1.1968070947811718,1
2020-06-25 12:30:00+00:00,CLAIMS,1467000,1473000.0,-6000.0,-341000.0,256104.8892264932,1.3080578079231193,1
2020-07-02 12:30:00+00:00,CLAIMS,1446000,1467000.0,-21000.0,-247375.0,217068.74322599822,1.0428723944115377,1
2020-07-03 12:30:00+00:00,NFP,137671,133040.0,4631.0,-1464.8333333333333,6048.003259278423,1.007908407453573,-1
2020-07-03 12:30:00+00:00,UNRATE,11.0,13.2,-2.1999999999999993,0.7999999999999998,3.073345822626303,-0.9761348618543595,-1
2020-07-09 12:30:00+00:00,CLAIMS,1413000,1446000.0,-33000.0,-168750.0,155616.51583299268,0.87233671357664,1
2020-07-10 12:30:00+00:00,PPI,191.2,188.6,2.5999999999999943,-1.0916666666666661,2.6643977089607214,1.3855539112089377,-1
2020-07-13 12:30:00+00:00,CPI,0.7166562831830481,,-0.9509962107418277,1.6676524939248758,0.7377531372028485,-1.289043940019664,1
2020-07-15 12:30:00+00:00,RETAIL,518038,478449.0,39589.0,-2191.0,34019.29577861257,1.2281265394760603,-1
2020-07-16 12:30:00+00:00,CLAIMS,1468000,1413000.0,55000.0,-115250.0,106660.67691515961,1.5961833819545401,1
2020-07-23 12:30:00+00:00,CLAIMS,1393000,1468000.0,-75000.0,-88500.0,120108.28447696712,0.11239857482594269,1
2020-07-30 12:30:00+00:00,CLAIMS,1260000,1393000.0,-133000.0,-66000.0,99564.76714753527,-0.6729288072428198,-1
2020-08-06 12:30:00+00:00,CLAIMS,1044000,1260000.0,-216000.0,-47375.0,59100.24776356143,-2.8532029286003544,-1
2020-08-07 12:30:00+00:00,NFP,139255,137671.0,1584.0,-1097.25,6288.95777064126,0.4263425034457822,-1
2020-08-07 12:30:00+00:00,UNRATE,10.2,11.0,-0.8000000000000007,0.6166666666666666,3.1888536935375194,-0.4442557742732637,-1
2020-08-12 12:30:00+00:00,PPI,193.0,191.2,1.8000000000000114,-0.7583333333333352,2.8649792426134693,0.8929674935444221,-1
2020-08-13 12:30:00+00:00,CLAIMS,884000,1044000.0,-160000.0,-66375.0,84278.34410875873,-1.1109022251217904,-1
2020-08-13 12:30:00+00:00,CPI,0.9968647625897997,,-0.5912428470678261,1.5881076096576259,0.7871426569830834,-0.7511254050617824,1
2020-08-17 12:30:00+00:00,RETAIL,526304,518038.0,8266.0,1065.5833333333333,36107.72558597985,0.19941484958727204,-1
2020-08-20 12:30:00+00:00,CLAIMS,927000,884000.0,43000.0,-73625.0,90076.05913100045,1.2947391473952983,1
2020-08-27 12:30:00+00:00,CLAIMS,876000,927000.0,-51000.0,-67500.0,96750.04614247731,0.170542554322936,1
2020-09-03 12:30:00+00:00,CLAIMS,881000,876000.0,5000.0,-71250.0,95260.17006073451,0.8004394696270823,1
2020-09-04 12:30:00+00:00,NFP,140821,139255.0,1566.0,-973.5,6329.118903205176,0.40124068434137855,-1
2020-09-04 12:30:00+00:00,UNRATE,8.4,10.2,-1.799999999999999,0.5416666666666665,3.212605380891549,-0.7288995656281992,-1
2020-09-10 12:30:00+00:00,CLAIMS,892000,881000.0,11000.0,-66500.0,98337.61088355654,0.7881013104108178,1
2020-09-10 12:30:00+00:00,PPI,194.3,193.0,1.3000000000000114,-0.6416666666666657,2.9438559541505893,0.659565786134709,-1
2020-09-11 12:30:00+00:00,CPI,1.2810698495523853,,-0.23791554573463514,1.5189853952870205,0.8006254476406397,-0.29716210799412834,0
2020-09-15 12:30:00+00:00,RETAIL,530735,526304.0,4431.0,1434.4166666666667,36161.207834962224,0.08286734632896046,-1
2020-09-17 12:30:00+00:00,CLAIMS,861000,892000.0,-31000.0,-72000.0,91568.86557589978,0.44775044161725297,1
2020-09-24 12:30:00+00:00,CLAIMS,859000,861000.0,-2000.0,-66500.0,92677.62867673578,0.6959608367298568,1
2020-10-01 12:30:00+00:00,CLAIMS,795000,859000.0,-64000.0,-50125.0,90803.45729730184,-0.15280255193997208,-1
2020-10-02 12:30:00+00:00,UNRATE,7.8,8.4,-0.6000000000000005,0.3999999999999999,3.280243893371345,-0.30485538042484633,-1
2020-10-02 12:30:00+00:00,NFP,141770,140821.0,949.0,-862.3333333333334,6363.837754821926,0.2846290875283351,-1
2020-10-08 12:30:00+00:00,CLAIMS,785000,795000.0,-10000.0,-31125.0,62686.151352819805,0.336996282976459,1
