event_ts,event_type,took_trade,entry_ts,exit_ts,direction,entry_price,exit_price,trend_slope,pre_atr,gross_pnl,net_pnl
2026-07-03 12:30:00+00:00,JOBS,False,,,0,,,,,0.0,0.0
2026-07-13 12:30:00+00:00,CPI,True,2026-07-13 13:00:00+00:00,2026-07-13 13:00:00+00:00,-1,4059.375598144531,4073.475451660156,-5.569579819924911,17.2449951171875,-1409.9853515625,-1433.9853515625
