open_ts,took_trade,or_high,or_low,or_range,trend_slope,session,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,gross_pnl,net_pnl,mae_price,mfe_price,mae_dollars,mfe_dollars,mae_price_distance,mfe_price_distance
2026-06-21 22:00:00+00:00,False,4176.0,4151.39990234375,24.60009765625,-19.35480052252388,LON,,,,,,,,,,,,,,,
2026-06-21 22:00:00+00:00,False,4176.0,4151.39990234375,24.60009765625,-19.35480052252388,NY,,,,,,,,,,,,,,,
2026-06-21 22:00:00+00:00,False,4176.0,4151.39990234375,24.60009765625,-19.35480052252388,ASIA,,,,,,,,,,,,,,,
2026-06-21 23:00:00+00:00,True,4181.5,4170.39990234375,11.10009765625,-20.63500442360146,ASIA,-1.0,2026-06-21 23:30:00+00:00,2026-06-21 23:45:00+00:00,4170.39990234375,4153.749755859375,4181.5,4153.749755859375,1665.0146484375,1646.0146484375,2.5,17.5,250.0,1750.0,,
2026-06-22 07:00:00+00:00,True,4219.7001953125,4172.89990234375,46.80029296875,-10.68479781536189,LON,-1.0,2026-06-22 07:35:00+00:00,2026-06-22 09:00:00+00:00,4172.89990234375,4219.7001953125,4219.7001953125,4102.699462890625,-4680.029296875,-4699.029296875,48.10009765625,0.0,4810.009765625,0.0,,
2026-06-22 13:30:00+00:00,False,4224.5,4172.89990234375,51.60009765625,-5.697187664432022,NY,,,,,,,,,,,,,,,
2026-06-22 23:00:00+00:00,False,4210.7998046875,4207.5,3.2998046875,-7.1783911101783815,ASIA,,,,,,,,,,,,,,,
2026-06-23 07:00:00+00:00,True,4142.7001953125,4127.5,15.2001953125,-16.58915818643345,LON,-1.0,2026-06-23 07:40:00+00:00,2026-06-23 09:40:00+00:00,4127.5,4134.7001953125,4142.7001953125,4104.69970703125,-720.01953125,-739.01953125,11.0,19.2998046875,1100.0,1929.98046875,,
2026-06-23 13:30:00+00:00,False,4158.5,4127.89990234375,30.60009765625,-12.09642708487263,NY,,,,,,,,,,,,,,,
2026-06-23 23:00:00+00:00,True,4120.89990234375,4111.89990234375,9.0,-11.402879550783837,ASIA,-1.0,2026-06-23 23:30:00+00:00,2026-06-23 23:35:00+00:00,4111.89990234375,4098.39990234375,4120.89990234375,4098.39990234375,1350.0,1331.0,3.10009765625,14.0,310.009765625,1400.0,,
2026-06-24 07:00:00+00:00,True,4107.7998046875,4100.0,7.7998046875,-14.234085724364377,LON,-1.0,2026-06-24 07:30:00+00:00,2026-06-24 09:05:00+00:00,4100.0,4088.30029296875,4107.7998046875,4088.30029296875,1169.970703125,1150.970703125,4.7998046875,13.199951171875,479.98046875,1319.9951171875,,
2026-06-24 13:30:00+00:00,False,4059.0,3990.0,69.0,-17.725727984497098,NY,,,,,,,,,,,,,,,
2026-06-24 23:00:00+00:00,False,4016.300048828125,4006.0,10.300048828125,-18.927870555248774,ASIA,,,,,,,,,,,,,,,
2026-06-25 07:00:00+00:00,True,4005.5,3988.5,17.0,-14.93189662578652,LON,-1.0,2026-06-25 07:45:00+00:00,2026-06-25 08:00:00+00:00,3988.5,4005.5,4005.5,3963.0,-1700.0,-1719.0,22.60009765625,1.89990234375,2260.009765625,189.990234375,,
2026-06-25 13:30:00+00:00,True,4044.199951171875,4016.60009765625,27.599853515625,-10.821128626260816,NY,-1.0,2026-06-25 14:00:00+00:00,2026-06-25 14:25:00+00:00,4016.60009765625,4044.199951171875,4044.199951171875,3975.200317382813,-2759.9853515625,-2778.9853515625,28.39990234375,1.5,2839.990234375,150.0,,
2026-06-25 23:00:00+00:00,True,4045.699951171875,4036.5,9.199951171875,-2.804136625754836,ASIA,-1.0,2026-06-25 23:30:00+00:00,2026-06-26 01:30:00+00:00,4036.5,4035.89990234375,4045.699951171875,4022.700073242188,60.009765625,41.009765625,9.0,10.199951171875,900.0,1019.9951171875,,
2026-06-26 07:00:00+00:00,True,4055.5,4042.5,13.0,-3.1092636494613544,LON,-1.0,2026-06-26 08:00:00+00:00,2026-06-26 09:10:00+00:00,4042.5,4055.5,4055.5,4023.0,-1300.0,-1319.0,14.5,1.300048828125,1450.0,130.0048828125,,
2026-06-26 13:30:00+00:00,True,4093.10009765625,4059.39990234375,33.7001953125,4.4710073657829525,NY,1.0,2026-06-26 14:00:00+00:00,2026-06-26 16:00:00+00:00,4093.10009765625,4106.89990234375,4059.39990234375,4143.650390625,1379.98046875,1360.98046875,10.10009765625,18.39990234375,1010.009765625,1839.990234375,,
2026-06-28 22:10:00+00:00,False,4092.39990234375,4067.10009765625,25.2998046875,5.421927346315442,LON,,,,,,,,,,,,,,,
2026-06-28 22:10:00+00:00,False,4092.39990234375,4067.10009765625,25.2998046875,5.421927346315442,NY,,,,,,,,,,,,,,,
2026-06-28 22:10:00+00:00,False,4092.39990234375,4067.10009765625,25.2998046875,5.421927346315442,ASIA,,,,,,,,,,,,,,,
2026-06-28 23:00:00+00:00,False,4084.800048828125,4069.199951171875,15.60009765625,4.703414647073259,ASIA,,,,,,,,,,,,,,,
