event,ts_utc,ts_et,bar_ts_utc,last_close,atr_20,ema_slope_5,trend_dir,buffer,instructions
NFP,2026-07-03 12:30:00+00:00,2026-07-03 08:30 EDT,2026-07-03 12:00:00+00:00,4103.0,19.9849853515625,5.872142417002124,UP,1.99849853515625,"['At 2026-07-03 09:00 EDT (close of event bar):', '  - Note event-bar HIGH (H) and LOW (L).', '  - Buffer = 0.1*ATR = $2.00', '  - Long trigger:  buy-stop @ H + $2.00', '  - Short trigger: sell-stop @ L - $2.00', '  - Trend filter (EMA50 slope = +5.87): ONLY take LONG breakout (trend up)', '  - Watch 2 bars after event bar; cancel both if neither triggers.', '  - Exit at close of bar #4 after entry (4-hour hold).', '  - Suggested stop: opposite side of event-bar range (e.g. long -> stop below L).']"
UNRATE,2026-07-03 12:30:00+00:00,2026-07-03 08:30 EDT,2026-07-03 12:00:00+00:00,4103.0,19.9849853515625,5.872142417002124,UP,1.99849853515625,"['At 2026-07-03 09:00 EDT (close of event bar):', '  - Note event-bar HIGH (H) and LOW (L).', '  - Buffer = 0.1*ATR = $2.00', '  - Long trigger:  buy-stop @ H + $2.00', '  - Short trigger: sell-stop @ L - $2.00', '  - Trend filter (EMA50 slope = +5.87): ONLY take LONG breakout (trend up)', '  - Watch 2 bars after event bar; cancel both if neither triggers.', '  - Exit at close of bar #4 after entry (4-hour hold).', '  - Suggested stop: opposite side of event-bar range (e.g. long -> stop below L).']"
