event_ts,event_bar_ts,entry_ts,exit_ts,direction,entry_price,exit_price,trend_slope,pre_atr,gross_pnl,net_pnl,event_type,year
2024-04-05 12:30:00+00:00,2024-04-05 12:00:00+00:00,2024-04-05 13:00:00+00:00,2024-04-05 17:00:00+00:00,1,2316.489454345703,2345.800048828125,1.359149364681798,7.89503173828125,2931.059448242195,2907.059448242195,NFP,2024
2024-04-05 12:30:00+00:00,2024-04-05 12:00:00+00:00,2024-04-05 13:00:00+00:00,2024-04-05 17:00:00+00:00,1,2316.489454345703,2345.800048828125,1.359149364681798,7.89503173828125,2931.059448242195,2907.059448242195,UNRATE,2024
2024-05-03 12:30:00+00:00,2024-05-03 12:00:00+00:00,2024-05-03 13:00:00+00:00,2024-05-03 17:00:00+00:00,-1,2302.715954589844,2310.800048828125,-1.2653280390245527,4.8399658203125,-808.4094238281068,-832.4094238281068,NFP,2024
2024-05-03 12:30:00+00:00,2024-05-03 12:00:00+00:00,2024-05-03 13:00:00+00:00,2024-05-03 17:00:00+00:00,-1,2302.715954589844,2310.800048828125,-1.2653280390245527,4.8399658203125,-808.4094238281068,-832.4094238281068,UNRATE,2024
2024-05-13 12:30:00+00:00,2024-05-13 12:00:00+00:00,2024-05-13 13:00:00+00:00,2024-05-13 17:00:00+00:00,-1,2349.3384020996095,2341.89990234375,-1.0832485391279079,5.61500244140625,743.8499755859539,719.8499755859539,CPI,2024
2024-06-07 12:30:00+00:00,2024-06-07 12:00:00+00:00,2024-06-07 13:00:00+00:00,2024-06-07 17:00:00+00:00,-1,2329.7856005859376,2323.300048828125,-3.2453547522168265,8.144970703125,648.5551757812573,624.5551757812573,NFP,2024
2024-06-07 12:30:00+00:00,2024-06-07 12:00:00+00:00,2024-06-07 13:00:00+00:00,2024-06-07 17:00:00+00:00,-1,2329.7856005859376,2323.300048828125,-3.2453547522168265,8.144970703125,648.5551757812573,624.5551757812573,UNRATE,2024
2024-07-05 12:30:00+00:00,2024-07-05 12:00:00+00:00,2024-07-05 13:00:00+00:00,2024-07-05 17:00:00+00:00,1,2385.7294494628904,2394.10009765625,4.971595652569249,5.29498291015625,837.0648193359557,813.0648193359557,UNRATE,2024
2024-07-05 12:30:00+00:00,2024-07-05 12:00:00+00:00,2024-07-05 13:00:00+00:00,2024-07-05 17:00:00+00:00,1,2385.7294494628904,2394.10009765625,4.971595652569249,5.29498291015625,837.0648193359557,813.0648193359557,NFP,2024
2024-07-11 12:30:00+00:00,2024-07-11 12:00:00+00:00,2024-07-11 13:00:00+00:00,2024-07-11 17:00:00+00:00,1,2415.863497314453,2419.199951171875,1.6262029895769956,3.63497314453125,333.64538574219296,309.64538574219296,CPI,2024
