sharpe,total_pnl,win_rate,n_trades
-0.15419501915022665,-647.2371826172239,0.47058823529411764,34
-3.06790640052916,-8621.735595703123,0.35714285714285715,28
1.3663613023080914,5155.815673828014,0.3793103448275862,29
-2.2914272310797172,-8242.616088867215,0.2972972972972973,37
2.891973355537965,9513.57666015627,0.53125,32
3.1654278440836783,13986.799072265632,0.36666666666666664,30
-3.054112375818161,-12457.849609374985,0.3448275862068966,29
0.7722036941704236,6597.837158203112,0.3125,32
-5.934710330568983,-17529.259521484364,0.2,30
-3.118768024829953,-11906.761474609351,0.2903225806451613,31
3.219157471162118,7074.830932617191,0.5416666666666666,24
-1.7301279621285799,-5691.854248046951,0.3870967741935484,31
1.7488172208473112,9231.935424804651,0.4,30
0.13482803399244758,895.8547363281577,0.42105263157894735,38
-2.3818726252086337,-7909.397155761748,0.3333333333333333,36
-2.9038030566005575,-8629.087646484408,0.36666666666666664,30
1.1086690124609584,3857.479248046917,0.3870967741935484,31
1.0972709877947808,4504.743408203154,0.3870967741935484,31
-2.4260832488700674,-8223.583374023461,0.2564102564102564,39
-0.8825863018958279,-4438.0798339844605,0.45161290322580644,31
2.584608342208396,18102.04406738285,0.3333333333333333,27
1.5911771935239232,3600.129028320358,0.5714285714285714,21
0.65997040403321,1251.8541259765916,0.4166666666666667,24
-3.407045620357208,-14935.135742187496,0.3225806451612903,31
0.43999434663029907,2246.6617431640425,0.35135135135135137,37
-2.016642790059176,-5241.087524414067,0.39285714285714285,28
-1.6068767015769378,-5392.973876953074,0.3333333333333333,30
-0.5253275403381003,-2249.153686523454,0.3870967741935484,31
1.9290524147156543,23487.295410156272,0.30952380952380953,42
-1.4364034458126569,-5916.807739257834,0.34285714285714286,35
2.510245777618295,8091.050170898436,0.36363636363636365,22
-0.4228195324074473,-1095.5003662109648,0.42857142857142855,28
-0.15283788925670796,-471.4948730468159,0.40625,32
-2.6854782530012242,-8842.157226562493,0.3333333333333333,27
-2.4335935032938134,-7709.51965332026,0.35714285714285715,28
-4.797402806050044,-11916.77624511719,0.3333333333333333,30
-3.1569548506253526,-9602.05249023442,0.36363636363636365,33
-0.3864014415955702,-1364.8698730469423,0.4411764705882353,34
-3.9432089610246743,-16463.153503417918,0.34285714285714286,35
-3.3089221251202767,-8376.703613281275,0.27586206896551724,29
-1.4570160455673955,-4748.78088378909,0.41935483870967744,31
-0.8196008162818416,-2545.799560546855,0.3333333333333333,27
-0.5622367450560426,-2618.12744140627,0.17857142857142858,28
-5.217639868298229,-15754.108520507816,0.32,25
-4.235529267245034,-15801.367309570329,0.3448275862068966,29
1.1330307209526433,3174.519226074207,0.4411764705882353,34
3.345524975307732,14760.083862304771,0.5,38
-14.479170965933857,-26072.281250000106,0.12,25
2.179063782442877,11675.309814453103,0.46153846153846156,39
-1.6265762873902432,-6700.000488281166,0.43333333333333335,30
2.4289510744975633,10930.172851562522,0.44,25
-1.546348179845133,-4205.872802734328,0.2727272727272727,22
-7.516934507676875,-17213.403076171857,0.2692307692307692,26
-4.625412221216754,-26525.706787109375,0.3125,32
0.594947707939187,3457.711181640643,0.3870967741935484,31
-1.4164379557530309,-6558.1723632812755,0.4642857142857143,28
-0.8116029595495073,-2672.4560546874673,0.3870967741935484,31
2.9316387447012833,11626.890930175798,0.5555555555555556,27
-0.5707340064954246,-3210.0886230467913,0.4482758620689655,29
1.6505120307661794,8605.128051757792,0.4,30
-1.5573337487363044,-12634.741760253924,0.43333333333333335,30
-0.6311567007148284,-5151.680297851621,0.35,40
1.1861988901166038,2172.0035400391207,0.43478260869565216,23
-0.4053049268241745,-1606.1738891602427,0.39473684210526316,38
0.3368948255034341,2674.6997070312627,0.29411764705882354,34
-4.510588573200091,-12544.609252929778,0.30303030303030304,33
2.268695872332769,15426.147949218703,0.37142857142857144,35
-3.756558574723665,-15131.296875000102,0.3611111111111111,36
-0.26942964598679553,-1776.1586914063064,0.2972972972972973,37
1.805812621959178,7638.408325195362,0.37037037037037035,27
1.5048082200587103,7375.759399414059,0.35294117647058826,34
-5.321396195916625,-28729.979064941417,0.3142857142857143,35
1.785349678456219,13575.624877929664,0.2727272727272727,33
-0.5829982340262483,-1732.7373046874727,0.42857142857142855,28
-1.4600809320531456,-4206.366699218754,0.32142857142857145,28
0.23481873003500123,757.9608154296984,0.375,32
0.27717170400537017,950.9197387694749,0.3448275862068966,29
-3.188562918611792,-10157.919189453098,0.30303030303030304,33
1.498281157750548,5461.755981445303,0.43333333333333335,30
-2.389222313779738,-7582.42602539064,0.40625,32
2.8928406389334085,17698.479736328238,0.3684210526315789,38
2.925915506161221,10365.801696777371,0.4857142857142857,35
-5.6794548376683,-16586.393432617107,0.2727272727272727,33
3.588846518326501,9201.540771484451,0.48,25
-3.604198266001713,-15880.329589843788,0.17857142857142858,28
-2.2974656616403393,-10205.126403808612,0.3870967741935484,31
0.6946414737011795,1559.2572021485457,0.3333333333333333,24
-1.1858095869799525,-3404.702758789086,0.2916666666666667,24
0.8972779121280847,6496.962890625084,0.2962962962962963,27
1.992338308460049,8404.177001953078,0.37037037037037035,27
1.149427113361279,5313.050903320308,0.47058823529411764,34
-2.6171907323745542,-7245.929321289004,0.43333333333333335,30
-4.391264124328427,-11002.015625000016,0.23809523809523808,21
3.3677865057077034,12031.48828125,0.4838709677419355,31
2.123908913464908,15239.403686523336,0.30434782608695654,23
-3.9956889250358874,-10984.204223632738,0.3793103448275862,29
-9.11572393521902,-13653.73425292965,0.21052631578947367,19
0.4709379269007374,2600.531372070267,0.23529411764705882,34
-2.8910918321020174,-12856.44567871088,0.5,30
-1.2062105475304155,-2712.7225341796693,0.5,26
-3.5049313336614034,-10254.53149414072,0.1935483870967742,31
-0.39493678723058395,-1496.623474121061,0.3225806451612903,31
3.774683830790517,16776.22497558589,0.5,28
4.843886592208399,17278.506225586065,0.4857142857142857,35
1.258361776054577,7891.729309082031,0.35714285714285715,28
-6.379564146869566,-26310.338745117173,0.2413793103448276,29
-1.4946452011350586,-5481.33874511724,0.4166666666666667,36
-3.310340445110962,-21861.215576171882,0.2857142857142857,35
2.070559298393583,18459.739807128866,0.29411764705882354,34
1.2947515670198446,6610.9226074218695,0.39285714285714285,28
-7.8442438468999525,-25541.62841796873,0.2,35
0.6955476951045004,3141.865966796904,0.3333333333333333,30
-6.959583280740613,-19381.56591796873,0.24242424242424243,33
-0.8470873456301973,-3423.0351562499673,0.3333333333333333,24
-1.1204463860790908,-3880.0031738281104,0.42424242424242425,33
1.6323433815812711,3809.684936523422,0.36,25
0.44788560878905187,1483.8864746094278,0.5185185185185185,27
-2.706604743523823,-11161.634399414055,0.375,32
-2.3922307841886976,-7874.727416992203,0.34375,32
4.745134886099797,21223.104980468815,0.5517241379310345,29
-7.396279426745043,-26500.820007324244,0.18181818181818182,33
-5.228092310023194,-14415.4176635742,0.3103448275862069,29
-2.3102436005125573,-7853.775756835959,0.3333333333333333,33
-10.14776851514966,-20847.155395507816,0.22580645161290322,31
0.26271964952021043,945.8040771484557,0.38461538461538464,26
1.715931800685019,8217.679565429658,0.42857142857142855,35
-5.3579724723029765,-15410.54089355468,0.23333333333333334,30
-2.203237758762145,-5865.358093261759,0.35714285714285715,28
1.1621197247245434,5755.91931152335,0.4074074074074074,27
-1.3250998143988615,-3804.5003662109757,0.40625,32
-0.08658945147022036,-266.1846313476817,0.3548387096774194,31
-0.221884029350087,-1568.2989501953525,0.36585365853658536,41
-2.2568757620069513,-6388.19879150387,0.3793103448275862,29
-3.856447486434482,-14506.453491210996,0.35294117647058826,34
1.0395488660184737,2590.1176757811972,0.3333333333333333,24
-1.5759275496483478,-4221.347961425723,0.32142857142857145,28
-2.2160043229052464,-7604.795776367249,0.38095238095238093,21
1.2963318009495766,5724.861938476541,0.45454545454545453,33
-2.842110555556534,-10979.96386718747,0.18421052631578946,38
-0.6860137156063209,-1860.2132568359812,0.4230769230769231,26
-1.7699737304989893,-8428.480712890676,0.4444444444444444,27
-1.1945727773711001,-2331.4854736328925,0.32,25
-0.5667288908490823,-1661.5419921874218,0.3333333333333333,30
-5.489293428841611,-11204.590209960928,0.3076923076923077,26
-3.590954085172187,-8033.877685546962,0.3076923076923077,26
-4.5666167777915545,-14985.725097656285,0.2727272727272727,33
3.321296911440643,11990.374267578136,0.4,25
1.66854749573777,7222.694213867255,0.375,32
-3.2224744125782188,-13530.659179687535,0.21875,32
-0.9176604461141962,-2810.820495605407,0.5161290322580645,31
-1.2268879544832958,-5293.500122070325,0.2962962962962963,27
-1.2949900452274103,-3106.9145507812173,0.41379310344827586,29
-1.422965924775628,-4585.448608398467,0.42424242424242425,33
1.9112554786484968,6553.775024414064,0.48148148148148145,27
-2.0236010183140354,-7496.244689941341,0.32,25
0.33581863979996796,2868.582763671684,0.26666666666666666,30
-5.17225816208979,-7710.36071777355,0.23076923076923078,26
1.1674161322606091,3461.5034179687455,0.39285714285714285,28
-3.7746124139573953,-16341.963867187576,0.3611111111111111,36
2.370505979256835,6128.345703125023,0.5,24
-1.5507174339160905,-7598.025268554755,0.36363636363636365,33
1.7243581721650618,8654.937011718825,0.46153846153846156,39
-1.2273850237452306,-3143.698852539087,0.36666666666666664,30
-5.788732252990537,-25867.635009765672,0.32,25
2.686309305250335,9633.40747070302,0.5161290322580645,31
2.6164894873012865,7549.381469726519,0.38461538461538464,26
-4.512255378213226,-13666.37145996094,0.17857142857142858,28
-3.668567768959846,-32099.856079101562,0.3939393939393939,33
-4.7324895474957565,-12446.4776611328,0.20689655172413793,29
-1.8323855743065163,-5151.665527343737,0.4375,32
-3.592167153452917,-22746.822143554673,0.3684210526315789,38
-2.6660385045016812,-10249.596923828121,0.34285714285714286,35
2.7085559319102708,17000.016113281326,0.43333333333333335,30
-5.030934185733389,-16104.36376953125,0.3125,32
-6.561426153398131,-25062.154174804797,0.22580645161290322,31
-3.4126276321191313,-14570.42211914057,0.325,40
-2.85751589763441,-9023.08959960946,0.3548387096774194,31
-7.251866177846251,-32827.986389160156,0.25,40
2.0093709009701524,5254.277465820314,0.4,25
-0.8208659410015869,-3912.3082275390207,0.38235294117647056,34
-0.8248415400590419,-2770.643798828083,0.3793103448275862,29
-3.2523371914946435,-10296.044921874996,0.42857142857142855,28
3.9182326515610546,18958.62756347656,0.4230769230769231,26
-2.670606762515005,-8234.154052734331,0.39285714285714285,28
-0.7026242093468359,-3656.9935302734593,0.32142857142857145,28
