event_ts,event_bar_ts,entry_ts,exit_ts,direction,entry_price,exit_price,stop_price,target_price,trend_slope,pre_atr,gross_pnl,net_pnl,exit_reason,event_type,ret_pct
2024-03-20 18:00:00+00:00,2024-03-20 17:30:00+00:00,2024-03-20 18:30:00+00:00,2024-03-21 17:30:00+00:00,1,201.4495068359375,201.97000122070312,199.7694989013672,204.80952270507814,0.02915319997896404,0.39503173828125,52.04943847656125,28.04943847656125,time,FOMC,0.25837461354001146
2024-07-31 18:00:00+00:00,2024-07-31 17:30:00+00:00,2024-07-31 18:30:00+00:00,2024-07-31 18:30:00+00:00,1,224.59062591552734,225.87062469482422,223.9506265258789,225.87062469482422,0.45727037180273555,0.8063140869140625,127.9998779296875,103.9998779296875,target,FOMC,0.5699252914403943
2024-12-18 19:00:00+00:00,2024-12-18 18:30:00+00:00,2024-12-18 19:30:00+00:00,2024-12-19 18:30:00+00:00,-1,241.36556762695312,239.72999572753906,243.52366394042969,237.049375,-0.3669704620779157,0.544305419921875,163.55718994140602,139.55718994140602,time,FOMC,0.6776326530310851
2025-01-29 19:00:00+00:00,2025-01-29 18:30:00+00:00,2025-01-29 19:30:00+00:00,2025-01-29 19:30:00+00:00,1,254.22542724609374,253.36542663574218,253.36542663574218,255.94542846679687,0.2176173958297909,0.65423583984375,-86.00006103515625,-110.00006103515625,stop,FOMC,-0.33828268858373084
2025-03-19 18:00:00+00:00,2025-03-19 17:30:00+00:00,2025-03-19 18:30:00+00:00,2025-03-20 17:30:00+00:00,1,280.54842330932615,280.7300109863281,279.42839767456053,282.7884745788574,1.0145481665055058,0.6841232299804687,18.15876770019713,-5.8412322998028685,time,FOMC,0.06472596597050093
2025-07-30 18:00:00+00:00,2025-07-30 17:30:00+00:00,2025-07-30 18:30:00+00:00,2025-07-30 18:30:00+00:00,-1,303.5332078552246,302.0742234802246,304.2627000427246,302.0742234802246,-0.7611489500274047,0.8678726196289063,145.8984375,121.8984375,target,FOMC,0.4806671353389076
2025-10-29 18:00:00+00:00,2025-10-29 17:30:00+00:00,2025-10-29 18:30:00+00:00,2025-10-30 13:30:00+00:00,-1,365.549056854248,368.4375761413574,368.4375761413574,359.7720182800293,-1.3271615991839667,2.5093093872070313,-288.8519287109375,-312.8519287109375,stop,FOMC,-0.7901864969825615
2026-01-28 19:00:00+00:00,2026-01-28 18:30:00+00:00,2026-01-28 19:30:00+00:00,2026-01-28 20:30:00+00:00,1,488.3347348022461,495.79475677490234,484.60472381591796,495.79475677490234,6.107590460861616,3.8472259521484373,746.002197265625,722.002197265625,target,FOMC,1.5276451665223503
2026-03-18 18:00:00+00:00,2026-03-18 17:30:00+00:00,2026-03-18 18:30:00+00:00,2026-03-19 13:30:00+00:00,-1,447.80737380981446,443.80737380981446,449.80737380981446,443.80737380981446,-2.924084569921547,2.5262374877929688,400.0,376.0,target,FOMC,0.8932412090424433
2026-04-29 18:00:00+00:00,2026-04-29 17:30:00+00:00,2026-04-29 18:30:00+00:00,2026-04-29 18:30:00+00:00,-1,415.32564514160157,417.80562561035157,417.80562561035157,410.36568420410157,-2.3983706889629275,2.143634033203125,-247.998046875,-271.998046875,stop,FOMC,-0.5971171050380173
